fixed points found: 422
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.0} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=True
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.234965} | theta=['2', '-2.493e-32', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.489977} | theta=['2', '-2.489e-32', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.744988} | theta=['2', '-2.487e-32', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.0} | theta=['2', '-2.486e-32', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.255012} | theta=['2', '-2.487e-32', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.510023} | theta=['2', '-2.489e-32', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.765035} | theta=['2', '-2.493e-32', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 0.236812} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 0.491208} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 0.745604} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 1.254396} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 1.508792} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 1.763188} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 0.235914} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 0.490609} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 0.745305} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 1.254695} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 1.509391} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 1.764086} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.238219} | theta=['2', '-2.414e-29', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.492146} | theta=['2', '-2.414e-29', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.746073} | theta=['2', '-2.415e-29', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.253927} | theta=['2', '-2.415e-29', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.507854} | theta=['2', '-2.414e-29', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.761781} | theta=['2', '-2.414e-29', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.241554} | theta=['2', '-4.719e-32', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.494369} | theta=['2', '-4.739e-32', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.747184} | theta=['2', '-2.976e-24', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.252816} | theta=['2', '-2.976e-24', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.505631} | theta=['2', '-2.963e-24', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.758446} | theta=['2', '-2.942e-24', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.189165} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.459443} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.729722} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.270278} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.540557} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.810835} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.187556} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.458371} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.729185} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.270815} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.541629} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.812444} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
